group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare,AVL,0,,,51129821.0,ns,25
Compare,AVL,0,,,51358068.0,ns,25
Compare,AVL,0,,,51319141.0,ns,25
Compare,AVL,0,,,52102565.0,ns,25
Compare,AVL,0,,,51106451.0,ns,25
Compare,AVL,0,,,51631504.0,ns,25
Compare,AVL,0,,,51272291.0,ns,25
Compare,AVL,0,,,51140976.0,ns,25
Compare,AVL,0,,,51091001.0,ns,25
Compare,AVL,0,,,51105388.0,ns,25
Compare,AVL,0,,,51077960.0,ns,25
Compare,AVL,0,,,50978552.0,ns,25
Compare,AVL,0,,,51077020.0,ns,25
Compare,AVL,0,,,51066479.0,ns,25
Compare,AVL,0,,,51110600.0,ns,25
Compare,AVL,0,,,51095332.0,ns,25
Compare,AVL,0,,,51108440.0,ns,25
Compare,AVL,0,,,51235767.0,ns,25
Compare,AVL,0,,,51309712.0,ns,25
Compare,AVL,0,,,51169277.0,ns,25
Compare,AVL,0,,,51065922.0,ns,25
Compare,AVL,0,,,51119538.0,ns,25
Compare,AVL,0,,,51164263.0,ns,25
Compare,AVL,0,,,51920162.0,ns,25
Compare,AVL,0,,,51208322.0,ns,25
Compare,AVL,0,,,51131271.0,ns,25
Compare,AVL,0,,,51105173.0,ns,25
Compare,AVL,0,,,51348584.0,ns,25
Compare,AVL,0,,,51264036.0,ns,25
Compare,AVL,0,,,51068777.0,ns,25
Compare,AVL,0,,,51041673.0,ns,25
Compare,AVL,0,,,50918494.0,ns,25
Compare,AVL,0,,,50981059.0,ns,25
Compare,AVL,0,,,51043103.0,ns,25
Compare,AVL,0,,,50860390.0,ns,25
Compare,AVL,0,,,50976104.0,ns,25
Compare,AVL,0,,,50935490.0,ns,25
Compare,AVL,0,,,51015374.0,ns,25
Compare,AVL,0,,,51263655.0,ns,25
Compare,AVL,0,,,51139209.0,ns,25
Compare,AVL,0,,,50936617.0,ns,25
Compare,AVL,0,,,50966282.0,ns,25
Compare,AVL,0,,,51385704.0,ns,25
Compare,AVL,0,,,50819003.0,ns,25
Compare,AVL,0,,,50848026.0,ns,25
Compare,AVL,0,,,50812678.0,ns,25
Compare,AVL,0,,,50973589.0,ns,25
Compare,AVL,0,,,51006450.0,ns,25
Compare,AVL,0,,,51273944.0,ns,25
Compare,AVL,0,,,50962888.0,ns,25
Compare,AVL,0,,,50876580.0,ns,25
Compare,AVL,0,,,50882043.0,ns,25
Compare,AVL,0,,,50907306.0,ns,25
Compare,AVL,0,,,50971928.0,ns,25
Compare,AVL,0,,,51077382.0,ns,25
Compare,AVL,0,,,50975661.0,ns,25
Compare,AVL,0,,,50902356.0,ns,25
Compare,AVL,0,,,50926031.0,ns,25
Compare,AVL,0,,,50848025.0,ns,25
Compare,AVL,0,,,50886175.0,ns,25
Compare,AVL,0,,,51526818.0,ns,25
Compare,AVL,0,,,51559889.0,ns,25
Compare,AVL,0,,,51665796.0,ns,25
Compare,AVL,0,,,51353820.0,ns,25
Compare,AVL,0,,,51277217.0,ns,25
Compare,AVL,0,,,51169909.0,ns,25
Compare,AVL,0,,,51032444.0,ns,25
Compare,AVL,0,,,50883701.0,ns,25
Compare,AVL,0,,,51008802.0,ns,25
Compare,AVL,0,,,51232677.0,ns,25
Compare,AVL,0,,,51234109.0,ns,25
Compare,AVL,0,,,51055069.0,ns,25
Compare,AVL,0,,,51003756.0,ns,25
Compare,AVL,0,,,51118000.0,ns,25
Compare,AVL,0,,,51385770.0,ns,25
Compare,AVL,0,,,51252440.0,ns,25
Compare,AVL,0,,,51095015.0,ns,25
Compare,AVL,0,,,51197798.0,ns,25
Compare,AVL,0,,,51102646.0,ns,25
Compare,AVL,0,,,51062320.0,ns,25
Compare,AVL,0,,,50995239.0,ns,25
Compare,AVL,0,,,52111206.0,ns,25
Compare,AVL,0,,,51070663.0,ns,25
Compare,AVL,0,,,51188782.0,ns,25
Compare,AVL,0,,,50980537.0,ns,25
Compare,AVL,0,,,50988940.0,ns,25
Compare,AVL,0,,,51108518.0,ns,25
Compare,AVL,0,,,51143304.0,ns,25
Compare,AVL,0,,,50956423.0,ns,25
Compare,AVL,0,,,51189858.0,ns,25
Compare,AVL,0,,,51116434.0,ns,25
Compare,AVL,0,,,51457537.0,ns,25
Compare,AVL,0,,,51130108.0,ns,25
Compare,AVL,0,,,51074448.0,ns,25
Compare,AVL,0,,,51175813.0,ns,25
Compare,AVL,0,,,51216611.0,ns,25
Compare,AVL,0,,,51072317.0,ns,25
Compare,AVL,0,,,51139585.0,ns,25
Compare,AVL,0,,,51149073.0,ns,25
Compare,AVL,0,,,51383092.0,ns,25
