group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare,AVL,2,,,51896309.0,ns,3
Compare,AVL,2,,,51650946.0,ns,3
Compare,AVL,2,,,51363973.0,ns,3
Compare,AVL,2,,,51464028.0,ns,3
Compare,AVL,2,,,51610334.0,ns,3
Compare,AVL,2,,,52145460.0,ns,3
Compare,AVL,2,,,51272541.0,ns,3
Compare,AVL,2,,,53585158.0,ns,3
Compare,AVL,2,,,52246691.0,ns,3
Compare,AVL,2,,,52406073.0,ns,3
Compare,AVL,2,,,51938620.0,ns,3
Compare,AVL,2,,,51666422.0,ns,3
Compare,AVL,2,,,51385717.0,ns,3
Compare,AVL,2,,,51765204.0,ns,3
Compare,AVL,2,,,51573213.0,ns,3
Compare,AVL,2,,,53148631.0,ns,3
Compare,AVL,2,,,53620100.0,ns,3
Compare,AVL,2,,,51662605.0,ns,3
Compare,AVL,2,,,51360046.0,ns,3
Compare,AVL,2,,,51907882.0,ns,3
Compare,AVL,2,,,51348906.0,ns,3
Compare,AVL,2,,,52299481.0,ns,3
Compare,AVL,2,,,51280797.0,ns,3
Compare,AVL,2,,,51536904.0,ns,3
Compare,AVL,2,,,56768249.0,ns,3
Compare,AVL,2,,,52039028.0,ns,3
Compare,AVL,2,,,51495733.0,ns,3
Compare,AVL,2,,,51213345.0,ns,3
Compare,AVL,2,,,51504566.0,ns,3
Compare,AVL,2,,,51493054.0,ns,3
Compare,AVL,2,,,51521897.0,ns,3
Compare,AVL,2,,,52149413.0,ns,3
Compare,AVL,2,,,51434118.0,ns,3
Compare,AVL,2,,,51317988.0,ns,3
Compare,AVL,2,,,51397235.0,ns,3
Compare,AVL,2,,,51450624.0,ns,3
Compare,AVL,2,,,53143478.0,ns,3
Compare,AVL,2,,,51551056.0,ns,3
Compare,AVL,2,,,51517423.0,ns,3
Compare,AVL,2,,,51261837.0,ns,3
Compare,AVL,2,,,51429418.0,ns,3
Compare,AVL,2,,,51270763.0,ns,3
Compare,AVL,2,,,51367253.0,ns,3
Compare,AVL,2,,,51213346.0,ns,3
Compare,AVL,2,,,51212070.0,ns,3
Compare,AVL,2,,,51481794.0,ns,3
Compare,AVL,2,,,51483291.0,ns,3
Compare,AVL,2,,,51432036.0,ns,3
Compare,AVL,2,,,51581547.0,ns,3
Compare,AVL,2,,,51404308.0,ns,3
Compare,AVL,2,,,51555076.0,ns,3
Compare,AVL,2,,,51605505.0,ns,3
Compare,AVL,2,,,52416194.0,ns,3
Compare,AVL,2,,,51658156.0,ns,3
Compare,AVL,2,,,51970433.0,ns,3
Compare,AVL,2,,,53169503.0,ns,3
Compare,AVL,2,,,51341008.0,ns,3
Compare,AVL,2,,,51578045.0,ns,3
Compare,AVL,2,,,51483625.0,ns,3
Compare,AVL,2,,,51285467.0,ns,3
Compare,AVL,2,,,51666551.0,ns,3
Compare,AVL,2,,,51290605.0,ns,3
Compare,AVL,2,,,51477332.0,ns,3
Compare,AVL,2,,,52407135.0,ns,3
Compare,AVL,2,,,51357873.0,ns,3
Compare,AVL,2,,,51432943.0,ns,3
Compare,AVL,2,,,51470937.0,ns,3
Compare,AVL,2,,,51929180.0,ns,3
Compare,AVL,2,,,51399197.0,ns,3
Compare,AVL,2,,,51369082.0,ns,3
Compare,AVL,2,,,51462812.0,ns,3
Compare,AVL,2,,,51734828.0,ns,3
Compare,AVL,2,,,51591271.0,ns,3
Compare,AVL,2,,,53430202.0,ns,3
Compare,AVL,2,,,54199860.0,ns,3
Compare,AVL,2,,,51404735.0,ns,3
Compare,AVL,2,,,51486131.0,ns,3
Compare,AVL,2,,,51832452.0,ns,3
Compare,AVL,2,,,51591936.0,ns,3
Compare,AVL,2,,,51794754.0,ns,3
Compare,AVL,2,,,51576235.0,ns,3
Compare,AVL,2,,,51780017.0,ns,3
Compare,AVL,2,,,51377867.0,ns,3
Compare,AVL,2,,,51459350.0,ns,3
Compare,AVL,2,,,51320222.0,ns,3
Compare,AVL,2,,,51304792.0,ns,3
Compare,AVL,2,,,51608020.0,ns,3
Compare,AVL,2,,,51336212.0,ns,3
Compare,AVL,2,,,51389957.0,ns,3
Compare,AVL,2,,,51507711.0,ns,3
Compare,AVL,2,,,51440856.0,ns,3
Compare,AVL,2,,,51447093.0,ns,3
Compare,AVL,2,,,51405290.0,ns,3
Compare,AVL,2,,,51277969.0,ns,3
Compare,AVL,2,,,52950368.0,ns,3
Compare,AVL,2,,,52468861.0,ns,3
Compare,AVL,2,,,51493811.0,ns,3
Compare,AVL,2,,,51424080.0,ns,3
Compare,AVL,2,,,51322974.0,ns,3
Compare,AVL,2,,,51307422.0,ns,3
