group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare,RBT,1,,,58249645.0,ns,5
Compare,RBT,1,,,58209146.0,ns,5
Compare,RBT,1,,,58503469.0,ns,5
Compare,RBT,1,,,58081801.0,ns,5
Compare,RBT,1,,,57743914.0,ns,5
Compare,RBT,1,,,58002494.0,ns,5
Compare,RBT,1,,,58573068.0,ns,5
Compare,RBT,1,,,59885622.0,ns,5
Compare,RBT,1,,,58545248.0,ns,5
Compare,RBT,1,,,57904423.0,ns,5
Compare,RBT,1,,,57868879.0,ns,5
Compare,RBT,1,,,57711390.0,ns,5
Compare,RBT,1,,,57724973.0,ns,5
Compare,RBT,1,,,57892923.0,ns,5
Compare,RBT,1,,,57755233.0,ns,5
Compare,RBT,1,,,57620419.0,ns,5
Compare,RBT,1,,,57707303.0,ns,5
Compare,RBT,1,,,58174004.0,ns,5
Compare,RBT,1,,,58241184.0,ns,5
Compare,RBT,1,,,57512435.0,ns,5
Compare,RBT,1,,,57549409.0,ns,5
Compare,RBT,1,,,57546520.0,ns,5
Compare,RBT,1,,,57950017.0,ns,5
Compare,RBT,1,,,57678715.0,ns,5
Compare,RBT,1,,,57926059.0,ns,5
Compare,RBT,1,,,58608912.0,ns,5
Compare,RBT,1,,,59004182.0,ns,5
Compare,RBT,1,,,58013183.0,ns,5
Compare,RBT,1,,,57678537.0,ns,5
Compare,RBT,1,,,57741441.0,ns,5
Compare,RBT,1,,,58011084.0,ns,5
Compare,RBT,1,,,58137079.0,ns,5
Compare,RBT,1,,,58816447.0,ns,5
Compare,RBT,1,,,57885652.0,ns,5
Compare,RBT,1,,,58391527.0,ns,5
Compare,RBT,1,,,58048418.0,ns,5
Compare,RBT,1,,,58118493.0,ns,5
Compare,RBT,1,,,58032410.0,ns,5
Compare,RBT,1,,,58538926.0,ns,5
Compare,RBT,1,,,58410506.0,ns,5
Compare,RBT,1,,,58160758.0,ns,5
Compare,RBT,1,,,57984204.0,ns,5
Compare,RBT,1,,,58845479.0,ns,5
Compare,RBT,1,,,58208042.0,ns,5
Compare,RBT,1,,,58340687.0,ns,5
Compare,RBT,1,,,57896971.0,ns,5
Compare,RBT,1,,,57843773.0,ns,5
Compare,RBT,1,,,57807746.0,ns,5
Compare,RBT,1,,,58044862.0,ns,5
Compare,RBT,1,,,58159982.0,ns,5
Compare,RBT,1,,,58085492.0,ns,5
Compare,RBT,1,,,57708374.0,ns,5
Compare,RBT,1,,,57720274.0,ns,5
Compare,RBT,1,,,57446089.0,ns,5
Compare,RBT,1,,,57939723.0,ns,5
Compare,RBT,1,,,59476433.0,ns,5
Compare,RBT,1,,,58407865.0,ns,5
Compare,RBT,1,,,57652646.0,ns,5
Compare,RBT,1,,,63437721.0,ns,5
Compare,RBT,1,,,64261040.0,ns,5
Compare,RBT,1,,,60692505.0,ns,5
Compare,RBT,1,,,61417000.0,ns,5
Compare,RBT,1,,,59896600.0,ns,5
Compare,RBT,1,,,72139128.0,ns,5
Compare,RBT,1,,,61170500.0,ns,5
Compare,RBT,1,,,60986944.0,ns,5
Compare,RBT,1,,,62105377.0,ns,5
Compare,RBT,1,,,76912364.0,ns,5
Compare,RBT,1,,,66406142.0,ns,5
Compare,RBT,1,,,62165295.0,ns,5
Compare,RBT,1,,,62105084.0,ns,5
Compare,RBT,1,,,61935885.0,ns,5
Compare,RBT,1,,,64881575.0,ns,5
Compare,RBT,1,,,62517945.0,ns,5
Compare,RBT,1,,,63239257.0,ns,5
Compare,RBT,1,,,61723322.0,ns,5
Compare,RBT,1,,,57893360.0,ns,5
Compare,RBT,1,,,58169316.0,ns,5
Compare,RBT,1,,,57478993.0,ns,5
Compare,RBT,1,,,57608179.0,ns,5
Compare,RBT,1,,,57617131.0,ns,5
Compare,RBT,1,,,57666332.0,ns,5
Compare,RBT,1,,,57389263.0,ns,5
Compare,RBT,1,,,57604350.0,ns,5
Compare,RBT,1,,,57655344.0,ns,5
Compare,RBT,1,,,58167650.0,ns,5
Compare,RBT,1,,,57472428.0,ns,5
Compare,RBT,1,,,57430877.0,ns,5
Compare,RBT,1,,,57878666.0,ns,5
Compare,RBT,1,,,58067682.0,ns,5
Compare,RBT,1,,,57877792.0,ns,5
Compare,RBT,1,,,58356804.0,ns,5
Compare,RBT,1,,,59658529.0,ns,5
Compare,RBT,1,,,57679709.0,ns,5
Compare,RBT,1,,,57433374.0,ns,5
Compare,RBT,1,,,57509575.0,ns,5
Compare,RBT,1,,,57661399.0,ns,5
Compare,RBT,1,,,57645180.0,ns,5
Compare,RBT,1,,,57611854.0,ns,5
Compare,RBT,1,,,57899503.0,ns,5
