group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare,RBT,4,,,83861137.0,ns,2
Compare,RBT,4,,,83211195.0,ns,2
Compare,RBT,4,,,82921958.0,ns,2
Compare,RBT,4,,,83781731.0,ns,2
Compare,RBT,4,,,82681888.0,ns,2
Compare,RBT,4,,,82783913.0,ns,2
Compare,RBT,4,,,82207663.0,ns,2
Compare,RBT,4,,,82797497.0,ns,2
Compare,RBT,4,,,82621824.0,ns,2
Compare,RBT,4,,,82811716.0,ns,2
Compare,RBT,4,,,84182075.0,ns,2
Compare,RBT,4,,,82312216.0,ns,2
Compare,RBT,4,,,82856290.0,ns,2
Compare,RBT,4,,,82676573.0,ns,2
Compare,RBT,4,,,82272113.0,ns,2
Compare,RBT,4,,,81987165.0,ns,2
Compare,RBT,4,,,82197583.0,ns,2
Compare,RBT,4,,,82414228.0,ns,2
Compare,RBT,4,,,82291201.0,ns,2
Compare,RBT,4,,,82293999.0,ns,2
Compare,RBT,4,,,82823131.0,ns,2
Compare,RBT,4,,,82329848.0,ns,2
Compare,RBT,4,,,84281976.0,ns,2
Compare,RBT,4,,,83146125.0,ns,2
Compare,RBT,4,,,82172147.0,ns,2
Compare,RBT,4,,,82077670.0,ns,2
Compare,RBT,4,,,83450595.0,ns,2
Compare,RBT,4,,,81995465.0,ns,2
Compare,RBT,4,,,82399675.0,ns,2
Compare,RBT,4,,,82921880.0,ns,2
Compare,RBT,4,,,82028802.0,ns,2
Compare,RBT,4,,,82465375.0,ns,2
Compare,RBT,4,,,83090038.0,ns,2
Compare,RBT,4,,,83248221.0,ns,2
Compare,RBT,4,,,86035091.0,ns,2
Compare,RBT,4,,,82477247.0,ns,2
Compare,RBT,4,,,82439415.0,ns,2
Compare,RBT,4,,,82210711.0,ns,2
Compare,RBT,4,,,86550081.0,ns,2
Compare,RBT,4,,,83292149.0,ns,2
Compare,RBT,4,,,83012962.0,ns,2
Compare,RBT,4,,,82450902.0,ns,2
Compare,RBT,4,,,84308808.0,ns,2
Compare,RBT,4,,,81588098.0,ns,2
Compare,RBT,4,,,82396279.0,ns,2
Compare,RBT,4,,,81942924.0,ns,2
Compare,RBT,4,,,83584712.0,ns,2
Compare,RBT,4,,,82419025.0,ns,2
Compare,RBT,4,,,81974268.0,ns,2
Compare,RBT,4,,,82089258.0,ns,2
Compare,RBT,4,,,82341476.0,ns,2
Compare,RBT,4,,,82501558.0,ns,2
Compare,RBT,4,,,82246517.0,ns,2
Compare,RBT,4,,,83089752.0,ns,2
Compare,RBT,4,,,82349958.0,ns,2
Compare,RBT,4,,,82173530.0,ns,2
Compare,RBT,4,,,82613761.0,ns,2
Compare,RBT,4,,,82280508.0,ns,2
Compare,RBT,4,,,83738130.0,ns,2
Compare,RBT,4,,,82491635.0,ns,2
Compare,RBT,4,,,82354291.0,ns,2
Compare,RBT,4,,,82151104.0,ns,2
Compare,RBT,4,,,82286957.0,ns,2
Compare,RBT,4,,,82421333.0,ns,2
Compare,RBT,4,,,81993356.0,ns,2
Compare,RBT,4,,,82370515.0,ns,2
Compare,RBT,4,,,82838353.0,ns,2
Compare,RBT,4,,,82649648.0,ns,2
Compare,RBT,4,,,82626399.0,ns,2
Compare,RBT,4,,,82471993.0,ns,2
Compare,RBT,4,,,87584094.0,ns,2
Compare,RBT,4,,,82697903.0,ns,2
Compare,RBT,4,,,82585656.0,ns,2
Compare,RBT,4,,,82337192.0,ns,2
Compare,RBT,4,,,82592635.0,ns,2
Compare,RBT,4,,,82337605.0,ns,2
Compare,RBT,4,,,82197241.0,ns,2
Compare,RBT,4,,,82318396.0,ns,2
Compare,RBT,4,,,82467155.0,ns,2
Compare,RBT,4,,,82214856.0,ns,2
Compare,RBT,4,,,83122713.0,ns,2
Compare,RBT,4,,,82179799.0,ns,2
Compare,RBT,4,,,83986452.0,ns,2
Compare,RBT,4,,,82253339.0,ns,2
Compare,RBT,4,,,82160097.0,ns,2
Compare,RBT,4,,,81858020.0,ns,2
Compare,RBT,4,,,82105134.0,ns,2
Compare,RBT,4,,,82020345.0,ns,2
Compare,RBT,4,,,81893131.0,ns,2
Compare,RBT,4,,,82286041.0,ns,2
Compare,RBT,4,,,85414462.0,ns,2
Compare,RBT,4,,,81826206.0,ns,2
Compare,RBT,4,,,82555366.0,ns,2
Compare,RBT,4,,,83868111.0,ns,2
Compare,RBT,4,,,83897426.0,ns,2
Compare,RBT,4,,,82717059.0,ns,2
Compare,RBT,4,,,82136412.0,ns,2
Compare,RBT,4,,,81825703.0,ns,2
Compare,RBT,4,,,81885111.0,ns,2
Compare,RBT,4,,,82209357.0,ns,2
