group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_10Sample,BST,3,,,53035769372.0,ns,1
Compare_10Sample,BST,3,,,47714548223.0,ns,1
Compare_10Sample,BST,3,,,59882831889.0,ns,1
Compare_10Sample,BST,3,,,53379613657.0,ns,1
Compare_10Sample,BST,3,,,61223059713.0,ns,1
Compare_10Sample,BST,3,,,56495149681.0,ns,1
Compare_10Sample,BST,3,,,68193927897.0,ns,1
Compare_10Sample,BST,3,,,58160889211.0,ns,1
Compare_10Sample,BST,3,,,68966528614.0,ns,1
Compare_10Sample,BST,3,,,62175998033.0,ns,1
