group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,AVL,0,,,52190963.0,ns,15
Compare_insert_delete,AVL,0,,,52266778.0,ns,15
Compare_insert_delete,AVL,0,,,53316574.0,ns,15
Compare_insert_delete,AVL,0,,,52251426.0,ns,15
Compare_insert_delete,AVL,0,,,52307968.0,ns,15
Compare_insert_delete,AVL,0,,,52251390.0,ns,15
Compare_insert_delete,AVL,0,,,52187693.0,ns,15
Compare_insert_delete,AVL,0,,,52318650.0,ns,15
Compare_insert_delete,AVL,0,,,52329194.0,ns,15
Compare_insert_delete,AVL,0,,,52199578.0,ns,15
Compare_insert_delete,AVL,0,,,52234729.0,ns,15
Compare_insert_delete,AVL,0,,,52648316.0,ns,15
Compare_insert_delete,AVL,0,,,52216371.0,ns,15
Compare_insert_delete,AVL,0,,,52218921.0,ns,15
Compare_insert_delete,AVL,0,,,52230123.0,ns,15
Compare_insert_delete,AVL,0,,,52155988.0,ns,15
Compare_insert_delete,AVL,0,,,52154845.0,ns,15
Compare_insert_delete,AVL,0,,,52216330.0,ns,15
Compare_insert_delete,AVL,0,,,52196194.0,ns,15
Compare_insert_delete,AVL,0,,,51987029.0,ns,15
Compare_insert_delete,AVL,0,,,52177342.0,ns,15
Compare_insert_delete,AVL,0,,,52913442.0,ns,15
Compare_insert_delete,AVL,0,,,52201535.0,ns,15
Compare_insert_delete,AVL,0,,,52475777.0,ns,15
Compare_insert_delete,AVL,0,,,52262683.0,ns,15
Compare_insert_delete,AVL,0,,,52138327.0,ns,15
Compare_insert_delete,AVL,0,,,52258588.0,ns,15
Compare_insert_delete,AVL,0,,,52213305.0,ns,15
Compare_insert_delete,AVL,0,,,55496696.0,ns,15
Compare_insert_delete,AVL,0,,,53211863.0,ns,15
Compare_insert_delete,AVL,0,,,52253665.0,ns,15
Compare_insert_delete,AVL,0,,,52150495.0,ns,15
Compare_insert_delete,AVL,0,,,52845546.0,ns,15
Compare_insert_delete,AVL,0,,,54255035.0,ns,15
Compare_insert_delete,AVL,0,,,52278624.0,ns,15
Compare_insert_delete,AVL,0,,,52165410.0,ns,15
Compare_insert_delete,AVL,0,,,53225271.0,ns,15
Compare_insert_delete,AVL,0,,,52336534.0,ns,15
Compare_insert_delete,AVL,0,,,52323764.0,ns,15
Compare_insert_delete,AVL,0,,,52169273.0,ns,15
Compare_insert_delete,AVL,0,,,53099377.0,ns,15
Compare_insert_delete,AVL,0,,,52281594.0,ns,15
Compare_insert_delete,AVL,0,,,52314489.0,ns,15
Compare_insert_delete,AVL,0,,,52363076.0,ns,15
Compare_insert_delete,AVL,0,,,52174507.0,ns,15
Compare_insert_delete,AVL,0,,,52232957.0,ns,15
Compare_insert_delete,AVL,0,,,52219200.0,ns,15
Compare_insert_delete,AVL,0,,,52140996.0,ns,15
Compare_insert_delete,AVL,0,,,52199778.0,ns,15
Compare_insert_delete,AVL,0,,,52166551.0,ns,15
Compare_insert_delete,AVL,0,,,52244374.0,ns,15
Compare_insert_delete,AVL,0,,,52261451.0,ns,15
Compare_insert_delete,AVL,0,,,52206272.0,ns,15
Compare_insert_delete,AVL,0,,,52701997.0,ns,15
Compare_insert_delete,AVL,0,,,52291402.0,ns,15
Compare_insert_delete,AVL,0,,,52251914.0,ns,15
Compare_insert_delete,AVL,0,,,52228254.0,ns,15
Compare_insert_delete,AVL,0,,,52242315.0,ns,15
Compare_insert_delete,AVL,0,,,52226550.0,ns,15
Compare_insert_delete,AVL,0,,,52896705.0,ns,15
Compare_insert_delete,AVL,0,,,56495885.0,ns,15
Compare_insert_delete,AVL,0,,,52329845.0,ns,15
Compare_insert_delete,AVL,0,,,52340320.0,ns,15
Compare_insert_delete,AVL,0,,,52148893.0,ns,15
Compare_insert_delete,AVL,0,,,52218129.0,ns,15
Compare_insert_delete,AVL,0,,,52191969.0,ns,15
Compare_insert_delete,AVL,0,,,52255414.0,ns,15
Compare_insert_delete,AVL,0,,,52191681.0,ns,15
Compare_insert_delete,AVL,0,,,52200075.0,ns,15
Compare_insert_delete,AVL,0,,,52286372.0,ns,15
Compare_insert_delete,AVL,0,,,52196892.0,ns,15
Compare_insert_delete,AVL,0,,,52222890.0,ns,15
Compare_insert_delete,AVL,0,,,52265287.0,ns,15
Compare_insert_delete,AVL,0,,,52163724.0,ns,15
Compare_insert_delete,AVL,0,,,52527930.0,ns,15
Compare_insert_delete,AVL,0,,,52314730.0,ns,15
Compare_insert_delete,AVL,0,,,52228766.0,ns,15
Compare_insert_delete,AVL,0,,,52299355.0,ns,15
Compare_insert_delete,AVL,0,,,53071895.0,ns,15
Compare_insert_delete,AVL,0,,,52573499.0,ns,15
Compare_insert_delete,AVL,0,,,52255771.0,ns,15
Compare_insert_delete,AVL,0,,,52381544.0,ns,15
Compare_insert_delete,AVL,0,,,52295053.0,ns,15
Compare_insert_delete,AVL,0,,,52202386.0,ns,15
Compare_insert_delete,AVL,0,,,52244708.0,ns,15
Compare_insert_delete,AVL,0,,,52262597.0,ns,15
Compare_insert_delete,AVL,0,,,52283546.0,ns,15
Compare_insert_delete,AVL,0,,,51927106.0,ns,15
Compare_insert_delete,AVL,0,,,52002834.0,ns,15
Compare_insert_delete,AVL,0,,,52219711.0,ns,15
Compare_insert_delete,AVL,0,,,52466856.0,ns,15
Compare_insert_delete,AVL,0,,,52265766.0,ns,15
Compare_insert_delete,AVL,0,,,52293419.0,ns,15
Compare_insert_delete,AVL,0,,,52261799.0,ns,15
Compare_insert_delete,AVL,0,,,52173435.0,ns,15
