group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,AVL,4,,,75909276.0,ns,1
Compare_insert_delete,AVL,4,,,72956899.0,ns,1
Compare_insert_delete,AVL,4,,,74572931.0,ns,1
Compare_insert_delete,AVL,4,,,72978372.0,ns,1
Compare_insert_delete,AVL,4,,,73841582.0,ns,1
Compare_insert_delete,AVL,4,,,74380373.0,ns,1
Compare_insert_delete,AVL,4,,,72718286.0,ns,1
Compare_insert_delete,AVL,4,,,73328785.0,ns,1
Compare_insert_delete,AVL,4,,,74516106.0,ns,1
Compare_insert_delete,AVL,4,,,74065997.0,ns,1
Compare_insert_delete,AVL,4,,,73585040.0,ns,1
Compare_insert_delete,AVL,4,,,73070005.0,ns,1
Compare_insert_delete,AVL,4,,,76626584.0,ns,1
Compare_insert_delete,AVL,4,,,73469277.0,ns,1
Compare_insert_delete,AVL,4,,,74887862.0,ns,1
Compare_insert_delete,AVL,4,,,77842920.0,ns,1
Compare_insert_delete,AVL,4,,,74248632.0,ns,1
Compare_insert_delete,AVL,4,,,75738018.0,ns,1
Compare_insert_delete,AVL,4,,,73093288.0,ns,1
Compare_insert_delete,AVL,4,,,73360872.0,ns,1
Compare_insert_delete,AVL,4,,,73245848.0,ns,1
Compare_insert_delete,AVL,4,,,72671931.0,ns,1
Compare_insert_delete,AVL,4,,,73303213.0,ns,1
Compare_insert_delete,AVL,4,,,72930671.0,ns,1
Compare_insert_delete,AVL,4,,,72996926.0,ns,1
Compare_insert_delete,AVL,4,,,73300682.0,ns,1
Compare_insert_delete,AVL,4,,,73056506.0,ns,1
Compare_insert_delete,AVL,4,,,76000350.0,ns,1
Compare_insert_delete,AVL,4,,,72447950.0,ns,1
Compare_insert_delete,AVL,4,,,73078404.0,ns,1
Compare_insert_delete,AVL,4,,,73393227.0,ns,1
Compare_insert_delete,AVL,4,,,72915064.0,ns,1
Compare_insert_delete,AVL,4,,,74708175.0,ns,1
Compare_insert_delete,AVL,4,,,72776807.0,ns,1
Compare_insert_delete,AVL,4,,,73021577.0,ns,1
Compare_insert_delete,AVL,4,,,73429544.0,ns,1
Compare_insert_delete,AVL,4,,,72562661.0,ns,1
Compare_insert_delete,AVL,4,,,73518837.0,ns,1
Compare_insert_delete,AVL,4,,,72589082.0,ns,1
Compare_insert_delete,AVL,4,,,73692765.0,ns,1
Compare_insert_delete,AVL,4,,,73282300.0,ns,1
Compare_insert_delete,AVL,4,,,75375044.0,ns,1
Compare_insert_delete,AVL,4,,,73893086.0,ns,1
Compare_insert_delete,AVL,4,,,74733361.0,ns,1
Compare_insert_delete,AVL,4,,,72931812.0,ns,1
Compare_insert_delete,AVL,4,,,73018946.0,ns,1
Compare_insert_delete,AVL,4,,,73100054.0,ns,1
Compare_insert_delete,AVL,4,,,74375384.0,ns,1
Compare_insert_delete,AVL,4,,,72779879.0,ns,1
Compare_insert_delete,AVL,4,,,73048747.0,ns,1
Compare_insert_delete,AVL,4,,,73354549.0,ns,1
Compare_insert_delete,AVL,4,,,72854136.0,ns,1
Compare_insert_delete,AVL,4,,,73591819.0,ns,1
Compare_insert_delete,AVL,4,,,72694779.0,ns,1
Compare_insert_delete,AVL,4,,,73109809.0,ns,1
Compare_insert_delete,AVL,4,,,74011655.0,ns,1
Compare_insert_delete,AVL,4,,,77526799.0,ns,1
Compare_insert_delete,AVL,4,,,73959623.0,ns,1
Compare_insert_delete,AVL,4,,,72757152.0,ns,1
Compare_insert_delete,AVL,4,,,73254147.0,ns,1
Compare_insert_delete,AVL,4,,,73312214.0,ns,1
Compare_insert_delete,AVL,4,,,72816758.0,ns,1
Compare_insert_delete,AVL,4,,,74456652.0,ns,1
Compare_insert_delete,AVL,4,,,72932754.0,ns,1
Compare_insert_delete,AVL,4,,,73061182.0,ns,1
Compare_insert_delete,AVL,4,,,73143046.0,ns,1
Compare_insert_delete,AVL,4,,,72771984.0,ns,1
Compare_insert_delete,AVL,4,,,73520166.0,ns,1
Compare_insert_delete,AVL,4,,,74828220.0,ns,1
Compare_insert_delete,AVL,4,,,73332363.0,ns,1
Compare_insert_delete,AVL,4,,,73201039.0,ns,1
Compare_insert_delete,AVL,4,,,72664804.0,ns,1
Compare_insert_delete,AVL,4,,,74689392.0,ns,1
Compare_insert_delete,AVL,4,,,73454607.0,ns,1
Compare_insert_delete,AVL,4,,,74070363.0,ns,1
Compare_insert_delete,AVL,4,,,74179798.0,ns,1
Compare_insert_delete,AVL,4,,,73092300.0,ns,1
Compare_insert_delete,AVL,4,,,74641121.0,ns,1
Compare_insert_delete,AVL,4,,,72928020.0,ns,1
Compare_insert_delete,AVL,4,,,72912373.0,ns,1
Compare_insert_delete,AVL,4,,,74125051.0,ns,1
Compare_insert_delete,AVL,4,,,73010181.0,ns,1
Compare_insert_delete,AVL,4,,,74546327.0,ns,1
Compare_insert_delete,AVL,4,,,73013909.0,ns,1
Compare_insert_delete,AVL,4,,,73330153.0,ns,1
Compare_insert_delete,AVL,4,,,73040878.0,ns,1
Compare_insert_delete,AVL,4,,,72988721.0,ns,1
Compare_insert_delete,AVL,4,,,73358946.0,ns,1
Compare_insert_delete,AVL,4,,,72653748.0,ns,1
Compare_insert_delete,AVL,4,,,73043322.0,ns,1
Compare_insert_delete,AVL,4,,,73319235.0,ns,1
Compare_insert_delete,AVL,4,,,73017482.0,ns,1
Compare_insert_delete,AVL,4,,,74333252.0,ns,1
Compare_insert_delete,AVL,4,,,73286011.0,ns,1
Compare_insert_delete,AVL,4,,,73686224.0,ns,1
Compare_insert_delete,AVL,4,,,75842646.0,ns,1
Compare_insert_delete,AVL,4,,,72462686.0,ns,1
Compare_insert_delete,AVL,4,,,77675802.0,ns,1
Compare_insert_delete,AVL,4,,,73656323.0,ns,1
Compare_insert_delete,AVL,4,,,73051301.0,ns,1
