group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,BST,2,,,61974755.0,ns,3
Compare_insert_delete,BST,2,,,61369326.0,ns,3
Compare_insert_delete,BST,2,,,61595023.0,ns,3
Compare_insert_delete,BST,2,,,62979886.0,ns,3
Compare_insert_delete,BST,2,,,61880212.0,ns,3
Compare_insert_delete,BST,2,,,61412295.0,ns,3
Compare_insert_delete,BST,2,,,61981740.0,ns,3
Compare_insert_delete,BST,2,,,61251837.0,ns,3
Compare_insert_delete,BST,2,,,61634560.0,ns,3
Compare_insert_delete,BST,2,,,61312812.0,ns,3
Compare_insert_delete,BST,2,,,61437181.0,ns,3
Compare_insert_delete,BST,2,,,61211956.0,ns,3
Compare_insert_delete,BST,2,,,61422876.0,ns,3
Compare_insert_delete,BST,2,,,61371714.0,ns,3
Compare_insert_delete,BST,2,,,61624974.0,ns,3
Compare_insert_delete,BST,2,,,61255533.0,ns,3
Compare_insert_delete,BST,2,,,61611666.0,ns,3
Compare_insert_delete,BST,2,,,61644259.0,ns,3
Compare_insert_delete,BST,2,,,61528424.0,ns,3
Compare_insert_delete,BST,2,,,64751292.0,ns,3
Compare_insert_delete,BST,2,,,62127639.0,ns,3
Compare_insert_delete,BST,2,,,61370206.0,ns,3
Compare_insert_delete,BST,2,,,61932995.0,ns,3
Compare_insert_delete,BST,2,,,61226873.0,ns,3
Compare_insert_delete,BST,2,,,61322074.0,ns,3
Compare_insert_delete,BST,2,,,61798994.0,ns,3
Compare_insert_delete,BST,2,,,61597513.0,ns,3
Compare_insert_delete,BST,2,,,61332006.0,ns,3
Compare_insert_delete,BST,2,,,61595756.0,ns,3
Compare_insert_delete,BST,2,,,61250899.0,ns,3
Compare_insert_delete,BST,2,,,61424298.0,ns,3
Compare_insert_delete,BST,2,,,61351577.0,ns,3
Compare_insert_delete,BST,2,,,63032091.0,ns,3
Compare_insert_delete,BST,2,,,61381157.0,ns,3
Compare_insert_delete,BST,2,,,61623849.0,ns,3
Compare_insert_delete,BST,2,,,63965358.0,ns,3
Compare_insert_delete,BST,2,,,61429154.0,ns,3
Compare_insert_delete,BST,2,,,61352326.0,ns,3
Compare_insert_delete,BST,2,,,61664335.0,ns,3
Compare_insert_delete,BST,2,,,61341861.0,ns,3
Compare_insert_delete,BST,2,,,61524124.0,ns,3
Compare_insert_delete,BST,2,,,61291606.0,ns,3
Compare_insert_delete,BST,2,,,61360008.0,ns,3
Compare_insert_delete,BST,2,,,61348840.0,ns,3
Compare_insert_delete,BST,2,,,61464138.0,ns,3
Compare_insert_delete,BST,2,,,61318922.0,ns,3
Compare_insert_delete,BST,2,,,61524128.0,ns,3
Compare_insert_delete,BST,2,,,61303796.0,ns,3
Compare_insert_delete,BST,2,,,61419646.0,ns,3
Compare_insert_delete,BST,2,,,61549527.0,ns,3
Compare_insert_delete,BST,2,,,61625255.0,ns,3
Compare_insert_delete,BST,2,,,62629669.0,ns,3
Compare_insert_delete,BST,2,,,61459292.0,ns,3
Compare_insert_delete,BST,2,,,62311918.0,ns,3
Compare_insert_delete,BST,2,,,61518086.0,ns,3
Compare_insert_delete,BST,2,,,61390080.0,ns,3
Compare_insert_delete,BST,2,,,61440972.0,ns,3
Compare_insert_delete,BST,2,,,61365556.0,ns,3
Compare_insert_delete,BST,2,,,61585650.0,ns,3
Compare_insert_delete,BST,2,,,61206565.0,ns,3
Compare_insert_delete,BST,2,,,61293978.0,ns,3
Compare_insert_delete,BST,2,,,61413493.0,ns,3
Compare_insert_delete,BST,2,,,64721986.0,ns,3
Compare_insert_delete,BST,2,,,62203243.0,ns,3
Compare_insert_delete,BST,2,,,61513729.0,ns,3
Compare_insert_delete,BST,2,,,61463308.0,ns,3
Compare_insert_delete,BST,2,,,61473339.0,ns,3
Compare_insert_delete,BST,2,,,63685808.0,ns,3
Compare_insert_delete,BST,2,,,63477098.0,ns,3
Compare_insert_delete,BST,2,,,61429767.0,ns,3
Compare_insert_delete,BST,2,,,62880012.0,ns,3
Compare_insert_delete,BST,2,,,62057972.0,ns,3
Compare_insert_delete,BST,2,,,61324115.0,ns,3
