group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,BST,4,,,94581588.0,ns,2
Compare_insert_delete,BST,4,,,95127915.0,ns,2
Compare_insert_delete,BST,4,,,96049612.0,ns,2
Compare_insert_delete,BST,4,,,95415821.0,ns,2
Compare_insert_delete,BST,4,,,94659216.0,ns,2
Compare_insert_delete,BST,4,,,97049354.0,ns,2
Compare_insert_delete,BST,4,,,94384106.0,ns,2
Compare_insert_delete,BST,4,,,94131977.0,ns,2
Compare_insert_delete,BST,4,,,94059137.0,ns,2
Compare_insert_delete,BST,4,,,94545513.0,ns,2
Compare_insert_delete,BST,4,,,94452048.0,ns,2
Compare_insert_delete,BST,4,,,94912752.0,ns,2
Compare_insert_delete,BST,4,,,94728316.0,ns,2
Compare_insert_delete,BST,4,,,95791504.0,ns,2
Compare_insert_delete,BST,4,,,95784717.0,ns,2
Compare_insert_delete,BST,4,,,94544521.0,ns,2
Compare_insert_delete,BST,4,,,96912241.0,ns,2
Compare_insert_delete,BST,4,,,98850548.0,ns,2
Compare_insert_delete,BST,4,,,94815786.0,ns,2
Compare_insert_delete,BST,4,,,94715601.0,ns,2
Compare_insert_delete,BST,4,,,94456693.0,ns,2
Compare_insert_delete,BST,4,,,94105024.0,ns,2
Compare_insert_delete,BST,4,,,94560351.0,ns,2
Compare_insert_delete,BST,4,,,94089975.0,ns,2
Compare_insert_delete,BST,4,,,95104122.0,ns,2
Compare_insert_delete,BST,4,,,96364757.0,ns,2
Compare_insert_delete,BST,4,,,96223740.0,ns,2
Compare_insert_delete,BST,4,,,93813952.0,ns,2
Compare_insert_delete,BST,4,,,94510583.0,ns,2
Compare_insert_delete,BST,4,,,94565598.0,ns,2
Compare_insert_delete,BST,4,,,95334296.0,ns,2
Compare_insert_delete,BST,4,,,94190806.0,ns,2
Compare_insert_delete,BST,4,,,94263641.0,ns,2
Compare_insert_delete,BST,4,,,94530387.0,ns,2
Compare_insert_delete,BST,4,,,93730923.0,ns,2
Compare_insert_delete,BST,4,,,94333653.0,ns,2
Compare_insert_delete,BST,4,,,94652759.0,ns,2
Compare_insert_delete,BST,4,,,97679080.0,ns,2
Compare_insert_delete,BST,4,,,95358586.0,ns,2
Compare_insert_delete,BST,4,,,94388923.0,ns,2
Compare_insert_delete,BST,4,,,94719562.0,ns,2
Compare_insert_delete,BST,4,,,94298817.0,ns,2
Compare_insert_delete,BST,4,,,94007184.0,ns,2
