group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,RBT,1,,,61425140.0,ns,4
Compare_insert_delete,RBT,1,,,61189555.0,ns,4
Compare_insert_delete,RBT,1,,,61422756.0,ns,4
Compare_insert_delete,RBT,1,,,61434483.0,ns,4
Compare_insert_delete,RBT,1,,,61304708.0,ns,4
Compare_insert_delete,RBT,1,,,61249191.0,ns,4
Compare_insert_delete,RBT,1,,,61483369.0,ns,4
Compare_insert_delete,RBT,1,,,61551295.0,ns,4
Compare_insert_delete,RBT,1,,,61431582.0,ns,4
Compare_insert_delete,RBT,1,,,61285889.0,ns,4
Compare_insert_delete,RBT,1,,,61348899.0,ns,4
Compare_insert_delete,RBT,1,,,61314154.0,ns,4
Compare_insert_delete,RBT,1,,,61492930.0,ns,4
Compare_insert_delete,RBT,1,,,63193017.0,ns,4
Compare_insert_delete,RBT,1,,,61361866.0,ns,4
Compare_insert_delete,RBT,1,,,61324826.0,ns,4
Compare_insert_delete,RBT,1,,,61267540.0,ns,4
Compare_insert_delete,RBT,1,,,61308249.0,ns,4
Compare_insert_delete,RBT,1,,,61339020.0,ns,4
Compare_insert_delete,RBT,1,,,61432236.0,ns,4
Compare_insert_delete,RBT,1,,,61277195.0,ns,4
Compare_insert_delete,RBT,1,,,61415779.0,ns,4
Compare_insert_delete,RBT,1,,,61240967.0,ns,4
Compare_insert_delete,RBT,1,,,61405003.0,ns,4
Compare_insert_delete,RBT,1,,,61351855.0,ns,4
Compare_insert_delete,RBT,1,,,61604682.0,ns,4
Compare_insert_delete,RBT,1,,,61362916.0,ns,4
Compare_insert_delete,RBT,1,,,61552874.0,ns,4
Compare_insert_delete,RBT,1,,,61303414.0,ns,4
Compare_insert_delete,RBT,1,,,62296610.0,ns,4
Compare_insert_delete,RBT,1,,,61622234.0,ns,4
Compare_insert_delete,RBT,1,,,61424788.0,ns,4
Compare_insert_delete,RBT,1,,,61473945.0,ns,4
Compare_insert_delete,RBT,1,,,61309045.0,ns,4
Compare_insert_delete,RBT,1,,,61212319.0,ns,4
Compare_insert_delete,RBT,1,,,61360476.0,ns,4
Compare_insert_delete,RBT,1,,,61338092.0,ns,4
Compare_insert_delete,RBT,1,,,61199406.0,ns,4
Compare_insert_delete,RBT,1,,,61283988.0,ns,4
Compare_insert_delete,RBT,1,,,61477589.0,ns,4
Compare_insert_delete,RBT,1,,,61193869.0,ns,4
Compare_insert_delete,RBT,1,,,61285537.0,ns,4
Compare_insert_delete,RBT,1,,,61283917.0,ns,4
Compare_insert_delete,RBT,1,,,61637724.0,ns,4
Compare_insert_delete,RBT,1,,,61387288.0,ns,4
Compare_insert_delete,RBT,1,,,61265981.0,ns,4
Compare_insert_delete,RBT,1,,,62005416.0,ns,4
Compare_insert_delete,RBT,1,,,61355362.0,ns,4
Compare_insert_delete,RBT,1,,,61257589.0,ns,4
Compare_insert_delete,RBT,1,,,61137212.0,ns,4
Compare_insert_delete,RBT,1,,,61243285.0,ns,4
Compare_insert_delete,RBT,1,,,61322704.0,ns,4
Compare_insert_delete,RBT,1,,,61211112.0,ns,4
Compare_insert_delete,RBT,1,,,61275507.0,ns,4
Compare_insert_delete,RBT,1,,,61312385.0,ns,4
Compare_insert_delete,RBT,1,,,61148097.0,ns,4
Compare_insert_delete,RBT,1,,,61248265.0,ns,4
Compare_insert_delete,RBT,1,,,61340434.0,ns,4
Compare_insert_delete,RBT,1,,,61171594.0,ns,4
Compare_insert_delete,RBT,1,,,61311202.0,ns,4
Compare_insert_delete,RBT,1,,,61308169.0,ns,4
Compare_insert_delete,RBT,1,,,61426786.0,ns,4
Compare_insert_delete,RBT,1,,,63101938.0,ns,4
Compare_insert_delete,RBT,1,,,61334991.0,ns,4
Compare_insert_delete,RBT,1,,,61166324.0,ns,4
Compare_insert_delete,RBT,1,,,61246985.0,ns,4
Compare_insert_delete,RBT,1,,,61263147.0,ns,4
Compare_insert_delete,RBT,1,,,61144168.0,ns,4
Compare_insert_delete,RBT,1,,,61217958.0,ns,4
Compare_insert_delete,RBT,1,,,61311384.0,ns,4
Compare_insert_delete,RBT,1,,,61141223.0,ns,4
Compare_insert_delete,RBT,1,,,61252997.0,ns,4
Compare_insert_delete,RBT,1,,,61317960.0,ns,4
Compare_insert_delete,RBT,1,,,61209694.0,ns,4
Compare_insert_delete,RBT,1,,,61244083.0,ns,4
Compare_insert_delete,RBT,1,,,61297725.0,ns,4
Compare_insert_delete,RBT,1,,,61734314.0,ns,4
Compare_insert_delete,RBT,1,,,61244510.0,ns,4
Compare_insert_delete,RBT,1,,,62505922.0,ns,4
Compare_insert_delete,RBT,1,,,61829700.0,ns,4
Compare_insert_delete,RBT,1,,,61272594.0,ns,4
Compare_insert_delete,RBT,1,,,61622358.0,ns,4
Compare_insert_delete,RBT,1,,,61695140.0,ns,4
Compare_insert_delete,RBT,1,,,61225010.0,ns,4
Compare_insert_delete,RBT,1,,,61310775.0,ns,4
Compare_insert_delete,RBT,1,,,61196175.0,ns,4
Compare_insert_delete,RBT,1,,,61333671.0,ns,4
Compare_insert_delete,RBT,1,,,61854920.0,ns,4
Compare_insert_delete,RBT,1,,,61150657.0,ns,4
Compare_insert_delete,RBT,1,,,61334143.0,ns,4
Compare_insert_delete,RBT,1,,,62008053.0,ns,4
Compare_insert_delete,RBT,1,,,69073283.0,ns,4
Compare_insert_delete,RBT,1,,,63451137.0,ns,4
Compare_insert_delete,RBT,1,,,61271426.0,ns,4
Compare_insert_delete,RBT,1,,,62005596.0,ns,4
Compare_insert_delete,RBT,1,,,61250006.0,ns,4
Compare_insert_delete,RBT,1,,,61312308.0,ns,4
Compare_insert_delete,RBT,1,,,61732419.0,ns,4
Compare_insert_delete,RBT,1,,,61247027.0,ns,4
Compare_insert_delete,RBT,1,,,61311751.0,ns,4
