group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare_insert_delete,RBT,3,,,90956888.0,ns,2
Compare_insert_delete,RBT,3,,,89991658.0,ns,2
Compare_insert_delete,RBT,3,,,89474210.0,ns,2
Compare_insert_delete,RBT,3,,,90466920.0,ns,2
Compare_insert_delete,RBT,3,,,90388870.0,ns,2
Compare_insert_delete,RBT,3,,,89743954.0,ns,2
Compare_insert_delete,RBT,3,,,88658854.0,ns,2
Compare_insert_delete,RBT,3,,,92609973.0,ns,2
Compare_insert_delete,RBT,3,,,89388036.0,ns,2
Compare_insert_delete,RBT,3,,,92378589.0,ns,2
Compare_insert_delete,RBT,3,,,89946902.0,ns,2
Compare_insert_delete,RBT,3,,,93329305.0,ns,2
Compare_insert_delete,RBT,3,,,89254925.0,ns,2
Compare_insert_delete,RBT,3,,,89551255.0,ns,2
Compare_insert_delete,RBT,3,,,89413045.0,ns,2
Compare_insert_delete,RBT,3,,,91043972.0,ns,2
Compare_insert_delete,RBT,3,,,89149861.0,ns,2
Compare_insert_delete,RBT,3,,,89343854.0,ns,2
Compare_insert_delete,RBT,3,,,89393294.0,ns,2
Compare_insert_delete,RBT,3,,,90154693.0,ns,2
Compare_insert_delete,RBT,3,,,90251786.0,ns,2
Compare_insert_delete,RBT,3,,,89644998.0,ns,2
Compare_insert_delete,RBT,3,,,89207078.0,ns,2
Compare_insert_delete,RBT,3,,,89457889.0,ns,2
Compare_insert_delete,RBT,3,,,89924940.0,ns,2
Compare_insert_delete,RBT,3,,,89951063.0,ns,2
Compare_insert_delete,RBT,3,,,89472980.0,ns,2
Compare_insert_delete,RBT,3,,,90286529.0,ns,2
Compare_insert_delete,RBT,3,,,89207733.0,ns,2
Compare_insert_delete,RBT,3,,,90068126.0,ns,2
Compare_insert_delete,RBT,3,,,89442558.0,ns,2
Compare_insert_delete,RBT,3,,,91293541.0,ns,2
Compare_insert_delete,RBT,3,,,93036164.0,ns,2
Compare_insert_delete,RBT,3,,,89887979.0,ns,2
Compare_insert_delete,RBT,3,,,89790000.0,ns,2
Compare_insert_delete,RBT,3,,,89701896.0,ns,2
Compare_insert_delete,RBT,3,,,89546639.0,ns,2
Compare_insert_delete,RBT,3,,,88922182.0,ns,2
Compare_insert_delete,RBT,3,,,89578060.0,ns,2
